Id;NomeEntidade;UF;Info;DataLimite
26f422ea;CIS Centro Oeste;PR;"7 vagas até R$ 750,00
Estagiário
Superior Incompleto";23/04/2021
8ff357be;CONIMS - Consórcio Intermunicipal de Saúde;PR;"35 vagas até R$ 15.931,12
Vários Cargos
Médio / Técnico / Superior";"14 a
21/04/2021"
58e83d05;DPE - Defensoria Pública do Estado;PR;"Vagas até R$ 1100,00
Estagiário - Direito
Superior Incompleto";26/04/2021
82e3dcd4;IFPR - Instituto Federal do Paraná;PR;"1 vaga até R$ 5831,21
Professor Substituto - Mecânica
Superior";14/04/2021
334f2bef;IFPR - Instituto Federal do Paraná;PR;"1 vaga até R$ 2236,32
Professor Substituto
Superior";15/04/2021
164b5a26;IFPR - Instituto Federal do Paraná;PR;"1 vaga até R$ 3130,85
Professor Substituto - Moda
Superior";30/04/2021
d882f0ff;MP - Ministério Público;PR;"1 vaga até R$ 1050,80
Estagiário - Direito
Superior Incompleto";19/04/2021
79dd0fc3;MP - Ministério Público -;PR;"1 vaga até R$ 1056,80
Estagiário - Direito
Superior Incompleto";16/04/2021
ae1c75ef;MP - Ministério Público - Curitiba;PR;"Vagas até R$ 1981,20
Estagiário Pós-Graduação - Direito
Superior";14/04/2021
c997a0c9;MP - Ministério Público - Marechal Cândido Rondon;PR;"2 vagas até R$ 1056,80
Estagiário - Direito
Superior Incompleto";15/04/2021
9dd536d5;MP - Ministério Público - Maringá;PR;"1 vaga até R$ 1981,20
Estagiário Pós-Graduação - Direito
Superior";15/04/2021
105838d0;MP - Ministério Público - Piraquara;PR;"1 vaga até R$ 1981,20
Estagiário - Pós-Graduação - Direito
Superior";03/05/2021
a2259ea5;PFN - Procuradoria da Fazenda Nacional;PR;"Vagas
Estagiário - Direito
Superior Incompleto";
8213e977;Prefeitura de Abatiá;PR;"4 vagas até R$ 1200,00
Estagiário
Superior";16/04/2021
9f58964f;Prefeitura de Arapongas;PR;"Vagas até R$ 900,00
Estagiário
Médio Incompleto / Superior Incompleto";16/04/2021
c1d8997c;Prefeitura de Cafeara;PR;"Vagas até R$ 650,00
Estagiários
Médio Incompleto / Técnico Incompleto / Superior Incompleto";13/04/2021
dd982e97;Prefeitura de Doutor Ulysses;PR;"2 vagas até R$ 1443,07
Professores
Superior";14/04/2021
4f92c466;Prefeitura de Honório Serpa;PR;"Vagas
Estagiário
Superior Incompleto / Superior";14/04/2021
236907bc;Prefeitura de Mandaguari;PR;"29 vagas
Estagiário
Superior Incompleto";07/05/2021
eaf1f91a;Prefeitura de Maripá;PR;"3 vagas até R$ 9888,86
Vários Cargos
Fundamental / Médio / Técnico / Superior";15/04/2021
c54490a3;Prefeitura de Santa Luci;PR;"2 vagas até R$ 1720,29
Técnico (a) de Enfermagem
Ensino Técnico";20/04/2021
c44b7390;Prefeitura de Sarandi;PR;"9 vagas até R$1469,75
Leiturista e Atendente
Ensino Médio";16/04/2021
2fd944ab;TJ - Tribunal de Justiça;PR;"Vagas até R$ 2132,14
Estagiário Pós-Graduação - Enfermagem
Superior";30/04/2021
f331ebd9;TJ - Tribunal de Justiça - Cambará;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";16/04/2021
c3d6ebe5;TJ - Tribunal de Justiça - Coronel Vivida;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";21/04/2021
39fe1a2f;TJ - Tribunal de Justiça - Curitiba;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";"19 a
21/04/2021"
d800f965;TJ - Tribunal de Justiça - Londrina;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";16/04/2021
cc1d4e30;TJ - Tribunal de Justiça - Marechal Cândido Rondon;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";18/04/2021
32bc0f3a;TJ - Tribunal de Justiça - Ponta Grossa;PR;"Vagas até R$ 1050,84
Estagiário - Direito
Superior Incompleto";14/04/2021
8fbcb2af;TJ - Tribunal de Justiça - Toledo;PR;"Vagas até R$ 1050,84
Estagiário
Não informada";23/04/2021
c39b5ce3;UENP - Universidade Estadual do Norte do Paraná;PR;"14 vagas até R$ 3209,07
Vários Cargos
Técnico / Superior";15/04/2021
b6d2ae9f;UFPR - Universidade Federal do Paraná;PR;"2 vagas até R$ 5831,21
Professor substituto da Carreira do Magistério Superior
Superior";19/04/2021
d6690e52;UNILA - Universidade Federal da Integração Latino-Americana;PR;"1 vaga até R$ 9616,18
Professor Visitante ou Visitante Estrangeiro
Superior";18/04/2021
ac2d9af8;UNILA - Universidade Federal da Integração Latino-Americana;PR;"1 vaga até R$ 4304,92
Professor Substituto
Superior";18/04/2021
89c5ea90;UTFPR - Universidade Tecnológica Federal do Paraná - Pato Branco;PR;"1 vaga até R$ 5831,21
Professor do Magistério Federal
Superior";15/04/2021
40a61626;UTFPR - Universidade Tecnológica Federal do Paraná - Santa Helena;PR;"1 vaga até R$ 5831,21
Professor Substituto
Superior";25/04/2021
906ef882;Prefeitura de Maripá;PR;"Vagas até R$ 4190,05
Dentista I
Superior";Suspenso Temp.
